Question;Response;START_DATE;END_DATE
Which 5 accounts had the highest energy spend in 2019?;01/01/2019, 31/12/2019;01/01/2019;31/12/2019
Which divisions had the least wastewater usage?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which site groups were the best performing for EP usage in 2019?;01/01/2019, 31/12/2019;01/01/2019;31/12/2019
Display the sites in the Commercial division with the highest electric power usage.;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What were the total sales in USD for Commercial sites in 2022?;01/01/2022, 31/12/2022;01/01/2022;31/12/2022
How much is the sales volume for commercial sites?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you tell me the energy effiency for California accounts?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What was the trash cost per ton for each division in 2022?;01/01/2022, 31/12/2022;01/01/2022;31/12/2022
Show me the energy intensity for every Kentucky account.;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you provide the total square footage for the Seattle location?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How much was the total waste generated at the Atlanta sites?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What were the total work hours for accounts in the New York region?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What is the percentage of renewable energy used across all accounts?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you provide the energy efficiency data for Texas accounts?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What were the total energy costs for all sites in 2023?;01/01/2023, 31/12/2023;01/01/2023;31/12/2023
How many of the occupied rooms came from the Boston site?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What was the energy intensity for each Ohio location?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you provide the total square footage for the San Francisco location?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What was the production output for my Northwest site in 2022?;01/01/2022, 31/12/2022;01/01/2022;31/12/2022
How much solid waste was generated at the Chicago sites?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What was the amount of recycled materials at our Orlando locations this year?;01/01/2024, 30/10/2024;01/01/2024;30/10/2024
What are my top 5 site groups in terms of waste generated?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are the five site groups with the highest overall energy cost?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which site groups have the lowest tCO2e emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which site groups have the highest tCO2e emissions per square meter?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my top 3 site groups in terms of electric power usage?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Tell me my top 10 site groups by carbon emissions.;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What is my top site group by natural gas consumption?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which site groups consumed the most electric power in 2019?;01/01/2019, 31/12/2019;01/01/2019;31/12/2019
Which site group led in waste water consumption?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are the bottom ten site groups for diesel usage;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my total emissions and respective usage volumes for my India division in 2019;01/01/2019, 31/12/2019;01/01/2019;31/12/2019
What is the total cost for 2020 electric power in kWh?;01/01/2020, 31/12/2020;01/01/2020;31/12/2020
What is the monthly natural gas usage for the Amadora site?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are the total emissions for 2021?;01/01/2021, 31/12/2021;01/01/2021;31/12/2021
What are the industrial division’s emissions in tons for 2020?;01/01/2020, 31/12/2020;01/01/2020;31/12/2020
What are the corporate emissions for the last 6 months?;30/04/2024, 30/10/2024;30/04/2024;30/10/2024
What was the electric power usage for 2019?;01/01/2019, 31/12/2019;01/01/2019;31/12/2019
What are the total waste water costs for the Amadora site?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are the emissions for the APAC site group for Q4?;01/10/2023, 31/12/2023;01/10/2023;31/12/2023
Which sites in the Industrial division produced the most emissions from 2018 to 2022?;01/01/2018, 31/12/2022;01/01/2018;31/12/2022
Which 5 sites produced the most emissions last year?;29/10/2022, 30/10/2023;29/10/2022;30/10/2023
Which sites in the Industrial division produced the most emissions the current year??;01/01/2024, 30/10/2024;01/01/2024;30/10/2024
Which 5 sites in the Industrial division produced the least wastewater in 2020?;01/01/2020, 31/12/2020;01/01/2020;31/12/2020
What were the France electric power costs for June 1st 2020 through July 31 2020?;01/06/2020, 31/07/2020;01/06/2020;31/07/2020
and what about my emission;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What about emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What about my emissions for the same site?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What about my cost for natural gas?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What about the emissions for all my sites in december?;01/12/2023, 31/12/2023;01/12/2023;31/12/2023
and what about my emissions for the same year?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
My electricity consumption in Grenoble in 2022;01/01/2022, 31/12/2022;01/01/2022;31/12/2022
Mi consumo de electricidad en Grenoble en 2022;01/01/2022, 31/12/2022;01/01/2022;31/12/2022
How about gas usage?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What about my scope 2 for Louisville ky?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which are the 5 sites with the highest electricity cost?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What's the total square footage at the Cincinnati site?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What were the monthly full-time employees for all sites in 2023?;01/01/2023, 31/12/2023;01/01/2023;31/12/2023
What is the current energy use goal for Fargo;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How many employees work at sites within the Silicones site?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How many accidents are associated with the Boulder site?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Show the number of guest nights for Louisville site this month;01/10/2024, 30/10/2024;01/10/2024;30/10/2024
Which sites are largest in terms of square footage?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which sites have the fewest number of meeting rooms?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Show the number of guest nights for Louisville site this month?;01/10/2024, 30/10/2024;01/10/2024;30/10/2024
What were the May 2023 usages for the accounts at the Chennai site?;01/05/2023, 31/05/2023;01/05/2023;31/05/2023
what is the difference between the total electric power usage for all sites in 2021 and 2022?;01/01/2021, 31/12/2021, 01/01/2022, 31/12/2022;01/01/2021 31/12/2021;01/01/2022 31/12/2022
what is the difference between the total electric power usage for all sites in 2021 and 2022;01/01/2021, 31/12/2022;01/01/2021;31/12/2022
What is the number of female employees in Athens;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
what is the climate zone for aloft bali seminyak;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
what is the close date for anthens tx;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What was the total electric power usage across all sites in 2023?;01/01/2023, 31/12/2023;01/01/2023;31/12/2023
Which sites used the most electric power in 2023?;01/01/2023, 31/12/2023;01/01/2023;31/12/2023
What was the total production for the Asnieres site last year?;01/11/2022, 31/10/2023;01/11/2022;31/10/2023
What are the total scope 2 emissions for all sites within the last quarter?;"Here is the answer:

01/07/2024, 30/10/2024";01/07/2024;30/10/2024
What is the monthly natural gas cost for the Commercial division so far this year?;01/01/2024, 30/10/2024;01/01/2024;30/10/2024
What was the average scope 2 emissions across all sites last year?;01/11/2022, 31/10/2023;01/11/2022;31/10/2023
What is the average energy use intensity across all sites so far this year?;01/01/2024, 30/10/2024;01/01/2024;30/10/2024
Show the total emissions data for all sites so far this year;01/01/2024, 30/10/2024;01/01/2024;30/10/2024
What are some trends in my electric power usage data?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What were the total Scope 1 emissions for the Chennai site from Jan 2023 through the end of September 2023?;01/01/2023, 30/09/2023;01/01/2023;30/09/2023
How much did we spend on electric power for all sites in 2022?;01/01/2022, 31/12/2022;01/01/2022;31/12/2022
Muéstrame el consumo de gas natural en 2021 de la división commercial;01/01/2021, 31/12/2021;01/01/2021;31/12/2021
What is the total number of full time employees across all sites for last year?;01/10/2022, 30/09/2023;01/10/2022;30/09/2023
What was my waste usage for nov 2022 for all sites?;01/11/2022, 30/11/2022;01/11/2022;30/11/2022
How can I find estimated annual consumption for Miami, Florida location;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Qual minha loja com maior consumo de energía?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
what were the total GHG emissions of the company in 2023?;01/01/2023, 31/12/2023;01/01/2023;31/12/2023
What are my total Electric Power Emissions for All of my sites for March 23;23/03/2024, 23/03/2024;23/03/2024;23/03/2024
Total industrial divisions emissions for March 2023;01/03/2023, 31/03/2023;01/03/2023;31/03/2023
What was my total emissions across the entire business from 2021-2023?;01/01/2021, 31/12/2023;01/01/2021;31/12/2023
Show me all utility cost and volume data for Ridge Munster;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you tell me what % of Austrian Power is hedged for 2024?;2024-01-01, 2024-12-31;01/01/2024;31/12/2024
